ID;Condition;Ascription;Answer
1;Harm;6;Yes
2;Harm;4;Yes
3;Harm;6;Yes
4;Harm;4;Yes
5;Harm;6;Yes
6;Harm;5;Yes
7;Harm;6;Yes
8;Harm;5;No
9;Harm;1;No
10;Help;1;No
11;Help;3;No
12;Help;3;No
13;Harm;2;Yes
14;Harm;6;Yes
15;Harm;6;No
16;Help;4;Yes
17;Help;3;No
18;Help;2;No
19;Help;1;No
20;Help;6;No
21;Help;5;No
22;Help;6;No
23;Help;3;No
24;Help;0;No
25;Help;1;No
26;Help;1;No
27;Help;1;No
28;Help;1;No
29;Help;1;No
30;Help;1;No
31;Help;1;No
32;Help;1;No
33;Help;2;No
34;Help;3;No
35;Help;2;No
36;Help;3;No
37;Help;3;No
38;Harm;4;Yes
39;Harm;4;Yes
40;Harm;5;Yes
41;Harm;5;Yes
42;Harm;5;Yes
43;Harm;5;Yes
44;Harm;5;Yes
45;Harm;5;Yes
46;Harm;6;Yes
47;Harm;6;Yes
48;Harm;6;Yes
49;Harm;6;Yes
50;Harm;6;Yes
51;Harm;3;No
52;Harm;5;No
53;Harm;5;No
54;Harm;4;Yes
