ID;Condition;Ascription;Answer
1;Harm;5;Yes
2;Harm;4;Yes
3;Harm;5;Yes
4;Harm;6;Yes
5;Harm;5;Yes
6;Harm;5;Yes
7;Harm;6;Yes
8;Harm;6;Yes
9;Harm;5;Yes
10;Harm;6;Yes
11;Harm;5;Yes
12;Harm;5;Yes
13;Harm;5;Yes
14;Harm;5;Yes
15;Harm;5;Yes
16;Harm;5;Yes
17;Harm;5;Yes
18;Harm;5;Yes
19;Harm;6;Yes
20;Harm;5;Yes
21;Harm;6;Yes
22;Harm;6;No
23;Harm;4;No
24;Harm;5;No
25;Help;2;Yes
26;Help;1;No
27;Help;5;No
28;Help;3;No
29;Help;3;No
30;Help;3;No
31;Help;4;No
32;Help;3;No
33;Help;2;No
34;Help;3;No
35;Help;4;No
36;Help;5;No
37;Help;4;No
38;Help;4;No
39;Help;3;No
40;Help;4;No
41;Help;3;No
42;Help;3;No
43;Help;3;No
44;Help;3;No
45;Help;3;No
46;Help;4;No
47;Help;3;No
